"","na_count_test","na_count_train"
"Id",0,0
"MSSubClass",0,0
"MSZoning",4,0
"LotFrontage",227,259
"LotArea",0,0
"Street",0,0
"Alley",1352,1369
"LotShape",0,0
"LandContour",0,0
"Utilities",2,0
"LotConfig",0,0
"LandSlope",0,0
"Neighborhood",0,0
"Condition1",0,0
"Condition2",0,0
"BldgType",0,0
"HouseStyle",0,0
"OverallQual",0,0
"OverallCond",0,0
"YearBuilt",0,0
"YearRemodAdd",0,0
"RoofStyle",0,0
"RoofMatl",0,0
"Exterior1st",1,0
"Exterior2nd",1,0
"MasVnrType",16,8
"MasVnrArea",15,8
"ExterQual",0,0
"ExterCond",0,0
"Foundation",0,0
"BsmtQual",44,37
"BsmtCond",45,37
"BsmtExposure",44,38
"BsmtFinType1",42,37
"BsmtFinSF1",1,0
"BsmtFinType2",42,38
"BsmtFinSF2",1,0
"BsmtUnfSF",1,0
"TotalBsmtSF",1,0
"Heating",0,0
"HeatingQC",0,0
"CentralAir",0,0
"Electrical",0,1
"X1stFlrSF",0,0
"X2ndFlrSF",0,0
"LowQualFinSF",0,0
"GrLivArea",0,0
"BsmtFullBath",2,0
"BsmtHalfBath",2,0
"FullBath",0,0
"HalfBath",0,0
"BedroomAbvGr",0,0
"KitchenAbvGr",0,0
"KitchenQual",1,0
"TotRmsAbvGrd",0,0
"Functional",2,0
"Fireplaces",0,0
"FireplaceQu",730,690
"GarageType",76,81
"GarageYrBlt",78,81
"GarageFinish",78,81
"GarageCars",1,0
"GarageArea",1,0
"GarageQual",78,81
"GarageCond",78,81
"PavedDrive",0,0
"WoodDeckSF",0,0
"OpenPorchSF",0,0
"EnclosedPorch",0,0
"X3SsnPorch",0,0
"ScreenPorch",0,0
"PoolArea",0,0
"PoolQC",1456,1453
"Fence",1169,1179
"MiscFeature",1408,1406
"MiscVal",0,0
"MoSold",0,0
"YrSold",0,0
"SaleType",1,0
"SaleCondition",0,0
"SalePrice",0,0
